center_lat,center_lon,end_date,flood_id,primary_country,severity,start_date
35.681249,107.984942,1068595200000,2332,China,2.0,1061683200000
44.70018,44.369848,1062115200000,2336,Russia,1.0,1061942400000
30.031634,103.018185,1062201600000,2337,China,1.0,1061856000000
20.625759,85.893641,1066608000000,2338,India,1.0,1061942400000
39.734374,-86.61734,1063065600000,2342,USA,2.0,1062374400000
10.514296,7.48686,1067299200000,2345,Nigeria,1.0,1062720000000
17.372818,101.592527,1065916800000,2347,Thailand,1.0,1063324800000
35.234941,128.019188,1063584000000,2348,South Korea,1.0,1063324800000
23.605828,-110.095624,1064966400000,2356,Mexico,1.0,1064188800000
43.723115,4.157209,1064275200000,2359,France,1.0,1064188800000
8.877517,11.923531,1065744000000,2361,Nigeria,1.0,1064188800000
27.63037,-99.205473,1066953600000,2366,USA,2.0,1065916800000
14.767484,108.846404,1066780800000,2368,Vietnam,1.0,1066176000000
12.559171,99.789967,1067904000000,2370,Thailand,2.0,1066348800000
-29.928802,-53.268681,1067558400000,2372,Brazil,1.0,1067212800000
19.479425,-70.982583,1069804800000,2380,Haiti,1.0,1068422400000
-32.712168,-61.685982,1068681600000,2381,Argentina,1.0,1068508800000
37.091158,-6.249491,1074384000000,2386,Spain,1.0,1067644800000
44.821672,4.940849,1071014400000,2395,France,2.0,1070236800000
-1.041628,102.901561,1074816000000,2403,Indonesia,2.0,1071014400000
8.881978,125.765745,1073433600000,2407,Philippines,1.0,1071792000000
38.677006,-85.387751,1074211200000,2412,USA,1.0,1073174400000
29.466641,51.439491,1074470400000,2415,Iran,1.0,1073692800000
-19.171139,141.147792,1077667200000,2417,Australia,2.0,1074038400000
-25.398999,32.868116,1076025600000,2423,Mozambique,1.0,1074988800000
-41.406343,147.369055,1075939200000,2424,Australia,2.0,1075334400000
-16.048042,15.226178,1078099200000,2425,Angola,1.0,1075161600000
45.180885,63.756115,1078185600000,2426,Kazakhstan,1.0,1075420800000
53.132767,-3.781964,1076112000000,2428,UK,1.0,1075766400000
-14.561533,21.427401,1086134400000,2430,Namibia,2.0,1075593600000
-17.482511,44.642355,1077235200000,2431,Madagascar,1.0,1073520000000
30.840634,46.162687,1077667200000,2432,Iraq,1.0,1074211200000
38.156763,27.983815,1076716800000,2433,Turkey,1.0,1074902400000
8.22929,125.744039,1077667200000,2434,Philippines,1.0,1076457600000
-6.409578,108.143784,1077667200000,2437,Indonesia,1.0,1076976000000
-11.878068,-50.481932,1083715200000,2440,Brazil,1.0,1076457600000
-16.976898,134.693836,1078876800000,2441,Australia,1.0,1077062400000
-17.94512,124.624336,1078617600000,2442,Australia,1.0,1077235200000
-12.852237,-63.676299,1080777600000,2443,Bolivia,1.0,1077494400000
