date,percentile,variable,income
2019-01-01,89,median,14176
2019-01-01,90,median,14734
2019-01-01,91,median,15343
2019-01-01,92,median,16006
2019-01-01,93,median,16850
2019-01-01,94,median,17801
2019-01-01,95,median,19084
2019-01-01,96,median,20600
2019-01-01,97,median,22670
2019-01-01,98,median,25834
2019-01-01,99,median,31549
2019-01-01,100,median,47319
2022-01-01,1,median,1156
2022-01-01,2,median,1431
2022-01-01,3,median,1642
2022-01-01,4,median,1801
2022-01-01,5,median,1945
2022-01-01,6,median,2080
2022-01-01,7,median,2189
2022-01-01,8,median,2298
2022-01-01,9,median,2408
2022-01-01,10,median,2513
2022-01-01,11,median,2607
2022-01-01,12,median,2701
2022-01-01,13,median,2796
2022-01-01,14,median,2896
2022-01-01,15,median,2993
2022-01-01,16,median,3073
2022-01-01,17,median,3158
2022-01-01,18,median,3239
2022-01-01,19,median,3318
2022-01-01,20,median,3398
2022-01-01,21,median,3482
2022-01-01,22,median,3563
2022-01-01,23,median,3651
2022-01-01,24,median,3738
2022-01-01,25,median,3829
2022-01-01,26,median,3919
2022-01-01,27,median,4009
2022-01-01,28,median,4096
2022-01-01,29,median,4183
2022-01-01,30,median,4269
2022-01-01,31,median,4357
2022-01-01,32,median,4445
2022-01-01,33,median,4534
2022-01-01,34,median,4631
2022-01-01,35,median,4719
2022-01-01,36,median,4816
2022-01-01,37,median,4908
2022-01-01,38,median,5000
2022-01-01,39,median,5100
2022-01-01,40,median,5200
2022-01-01,41,median,5304
2022-01-01,42,median,5404
2022-01-01,43,median,5512
2022-01-01,44,median,5618
2022-01-01,45,median,5718
2022-01-01,46,median,5822
2022-01-01,47,median,5934
2022-01-01,48,median,6055
2022-01-01,49,median,6172
2022-01-01,50,median,6285
2022-01-01,51,median,6398
2022-01-01,52,median,6517
2022-01-01,53,median,6644
2022-01-01,54,median,6780
2022-01-01,55,median,6908
2022-01-01,56,median,7048
2022-01-01,57,median,7185
2022-01-01,58,median,7325
2022-01-01,59,median,7467
2022-01-01,60,median,7623
2022-01-01,61,median,7772
2022-01-01,62,median,7932
2022-01-01,63,median,8092
2022-01-01,64,median,8260
2022-01-01,65,median,8431
2022-01-01,66,median,8602
2022-01-01,67,median,8789
2022-01-01,68,median,8965
2022-01-01,69,median,9157
2022-01-01,70,median,9351
2022-01-01,71,median,9555
2022-01-01,72,median,9769
2022-01-01,73,median,9991
2022-01-01,74,median,10208
2022-01-01,75,median,10445
2022-01-01,76,median,10657
2022-01-01,77,median,10907
2022-01-01,78,median,11154
2022-01-01,79,median,11413
2022-01-01,80,median,11675
2022-01-01,81,median,11963
2022-01-01,82,median,12251
2022-01-01,83,median,12554
2022-01-01,84,median,12926
2022-01-01,85,median,13301
2022-01-01,86,median,13661
2022-01-01,87,median,14066
2022-01-01,88,median,14528
2022-01-01,89,median,15019
2022-01-01,90,median,15575
2022-01-01,91,median,16189
2022-01-01,92,median,16922
2022-01-01,93,median,17779
2022-01-01,94,median,18843
2022-01-01,95,median,20112
2022-01-01,96,median,21585
2022-01-01,97,median,23745
2022-01-01,98,median,26557
2022-01-01,99,median,32157
2022-01-01,100,median,62585
2019-01-01,1,minimum,
2019-01-01,2,minimum,1141
2019-01-01,3,minimum,1460
2019-01-01,4,minimum,1642
2019-01-01,5,minimum,1790
2019-01-01,6,minimum,1929
2019-01-01,7,minimum,2055
2019-01-01,8,minimum,2166
2019-01-01,9,minimum,2283
2019-01-01,10,minimum,2396
2019-01-01,11,minimum,2500
2019-01-01,12,minimum,2548
2019-01-01,13,minimum,2595
2019-01-01,14,minimum,2654
2019-01-01,15,minimum,2710
2019-01-01,16,minimum,2786
2019-01-01,17,minimum,2862
2019-01-01,18,minimum,2941
2019-01-01,19,minimum,3015
2019-01-01,20,minimum,3090
2019-01-01,21,minimum,3170
2019-01-01,22,minimum,3245
2019-01-01,23,minimum,3323
2019-01-01,24,minimum,3400
2019-01-01,25,minimum,3478
2019-01-01,26,minimum,3556
2019-01-01,27,minimum,3639
2019-01-01,28,minimum,3716
2019-01-01,29,minimum,3800
2019-01-01,30,minimum,3889
2019-01-01,31,minimum,3970
2019-01-01,32,minimum,4056
2019-01-01,33,minimum,4133
2019-01-01,34,minimum,4219
2019-01-01,35,minimum,4303
2019-01-01,36,minimum,4387
2019-01-01,37,minimum,4475
2019-01-01,38,minimum,4569
2019-01-01,39,minimum,4659
2019-01-01,40,minimum,4748
2019-01-01,41,minimum,4850
2019-01-01,42,minimum,4945
2019-01-01,43,minimum,5034
2019-01-01,44,minimum,5131
2019-01-01,45,minimum,5233
2019-01-01,46,minimum,5336
2019-01-01,47,minimum,5444
2019-01-01,48,minimum,5548
2019-01-01,49,minimum,5656
2019-01-01,50,minimum,5766
2019-01-01,51,minimum,5880
2019-01-01,52,minimum,5989
2019-01-01,53,minimum,6103
2019-01-01,54,minimum,6231
2019-01-01,55,minimum,6352
2019-01-01,56,minimum,6471
2019-01-01,57,minimum,6595
2019-01-01,58,minimum,6723
2019-01-01,59,minimum,6846
2019-01-01,60,minimum,6970
2019-01-01,61,minimum,7110
2019-01-01,62,minimum,7227
2019-01-01,63,minimum,7368
2019-01-01,64,minimum,7512
2019-01-01,65,minimum,7662
2019-01-01,66,minimum,7828
2019-01-01,67,minimum,7979
2019-01-01,68,minimum,8146
2019-01-01,69,minimum,8307
2019-01-01,70,minimum,8492
2019-01-01,71,minimum,8700
2019-01-01,72,minimum,8852
2019-01-01,73,minimum,9050
2019-01-01,74,minimum,9249
2019-01-01,75,minimum,9468
2019-01-01,76,minimum,9695
2019-01-01,77,minimum,9933
2019-01-01,78,minimum,10166
2019-01-01,79,minimum,10415
2019-01-01,80,minimum,10670
2019-01-01,81,minimum,10960
2019-01-01,82,minimum,11237
2019-01-01,83,minimum,11545
2019-01-01,84,minimum,11868
2019-01-01,85,minimum,12187
2019-01-01,86,minimum,12586
2019-01-01,87,minimum,12994
2019-01-01,88,minimum,13438
2019-01-01,89,minimum,13939
2019-01-01,90,minimum,14444
2019-01-01,91,minimum,15040
2019-01-01,92,minimum,15675
2019-01-01,93,minimum,16403
2019-01-01,94,minimum,17298
2019-01-01,95,minimum,18435
2019-01-01,96,minimum,19781
2019-01-01,97,minimum,21564
2019-01-01,98,minimum,24063
2019-01-01,99,minimum,28058
2019-01-01,100,minimum,36615
2022-01-01,1,minimum,
2022-01-01,2,minimum,1304
2022-01-01,3,minimum,1547
2022-01-01,4,minimum,1723
2022-01-01,5,minimum,1877
2022-01-01,6,minimum,2012
2022-01-01,7,minimum,2134
2022-01-01,8,minimum,2246
2022-01-01,9,minimum,2357
2022-01-01,10,minimum,2459
2022-01-01,11,minimum,2559
2022-01-01,12,minimum,2657
2022-01-01,13,minimum,2749
2022-01-01,14,minimum,2846
2022-01-01,15,minimum,2944
2022-01-01,16,minimum,3034
2022-01-01,17,minimum,3117
2022-01-01,18,minimum,3200
2022-01-01,19,minimum,3280
2022-01-01,20,minimum,3359
2022-01-01,21,minimum,3440
2022-01-01,22,minimum,3522
2022-01-01,23,minimum,3609
2022-01-01,24,minimum,3696
2022-01-01,25,minimum,3783
2022-01-01,26,minimum,3874
2022-01-01,27,minimum,3966
2022-01-01,28,minimum,4052
2022-01-01,29,minimum,4140
2022-01-01,30,minimum,4225
2022-01-01,31,minimum,4313
2022-01-01,32,minimum,4403
2022-01-01,33,minimum,4488
2022-01-01,34,minimum,4582
2022-01-01,35,minimum,4674
2022-01-01,36,minimum,4764
2022-01-01,37,minimum,4864
2022-01-01,38,minimum,4958
2022-01-01,39,minimum,5052
2022-01-01,40,minimum,5150
2022-01-01,41,minimum,5251
2022-01-01,42,minimum,5352
2022-01-01,43,minimum,5457
2022-01-01,44,minimum,5566
2022-01-01,45,minimum,5664
2022-01-01,46,minimum,5770
2022-01-01,47,minimum,5876
2022-01-01,48,minimum,5991
2022-01-01,49,minimum,6115
2022-01-01,50,minimum,6228
2022-01-01,51,minimum,6338
2022-01-01,52,minimum,6452
2022-01-01,53,minimum,6582
2022-01-01,54,minimum,6709
2022-01-01,55,minimum,6840
2022-01-01,56,minimum,6979
2022-01-01,57,minimum,7115
2022-01-01,58,minimum,7254
2022-01-01,59,minimum,7392
2022-01-01,60,minimum,7544
2022-01-01,61,minimum,7694
2022-01-01,62,minimum,7850
