area,center_lat,center_lon,dead,displaced,end_date,id,main_cause,primary_country,severity,start_date
1306206912.2539062,60.335681,-150.891253,0,0,1035763200000,DFO_2075_From_20021024_to_20021028,Heavy rain,USA,2.0,1035417600000
3335329860.1289062,29.65109,-96.029696,1,75,1037145600000,DFO_2076_From_20021023_to_20021113,Heavy rain,USA,1.0,1035331200000
5930332861.6796875,14.206227,108.878131,2,0,1035849600000,DFO_2077_From_20021026_to_20021029,Heavy rain,Vietnam,1.0,1035590400000
1896588100.1992188,24.269423,113.384882,0,50000,1036195200000,DFO_2079_From_20021028_to_20021102,Heavy rain,China,1.0,1035763200000
52687417.04296875,-43.667295,172.869147,0,0,1037836800000,DFO_2090_From_20021119_to_20021121,Heavy rain,New Zealand,1.0,1037664000000
287094395.375,33.109088,-7.098795,63,0,1038528000000,DFO_2097_From_20021124_to_20021129,Heavy rain,Morocco,2.0,1038096000000
1655480416.2382812,45.829287,8.642375,0,10000,1038873600000,DFO_2099_From_20021122_to_20021203,Heavy rain,Italy,1.0,1037923200000
775164704.4140625,43.730782,4.145883,2,0,1039824000000,DFO_2103_From_20021213_to_20021214,Heavy rain,France,1.0,1039737600000
3682251373.0039062,38.939731,-122.478319,6,0,1040688000000,DFO_2104_From_20021214_to_20021224,Heavy rain,USA,1.0,1039824000000
1075489198.1445312,0.977528,100.517101,0,60000,1040342400000,DFO_2106_From_20021215_to_20021220,Heavy rain,Indonesia,1.0,1039910400000
14682425088.613281,31.833155,-92.620622,0,0,1041811200000,DFO_2115_From_20030101_to_20030106,Heavy rain,USA,1.0,1041379200000
5223107142.828125,51.264587,-0.543564,0,0,1041811200000,DFO_2116_From_20030101_to_20030106,Heavy rain,UK,1.0,1041379200000
2779029579.3046875,49.2074,5.62514,7,1500,1041984000000,DFO_2117_From_20030101_to_20030108,Heavy rain,Germany,1.0,1041379200000
2281464922.0351562,-14.766118,38.874709,23,400000,1045440000000,DFO_2119_From_20030101_to_20030217,Heavy rain,Malawi,1.0,1041379200000
406163006.3828125,-16.48569,-64.944989,1,6000,1041984000000,DFO_2120_From_20030103_to_20030108,Heavy rain,Bolivia,1.0,1041552000000
205928714.71875,-2.428747,113.005128,0,30000,1044489600000,DFO_2127_From_20030114_to_20030206,Heavy rain,Indonesia,2.0,1042502400000
8334059882.625,-29.455848,-60.978623,0,0,1043971200000,DFO_2130_From_20030113_to_20030131,Heavy rain,Argentina,1.0,1042416000000
2211161083.8320312,2.467598,102.893883,1,1500,1044835200000,DFO_2134_From_20030120_to_20030210,Heavy rain,Malaysia,1.0,1043020800000
690809582.1855469,57.049015,-2.498648,0,0,1043280000000,DFO_2136_From_20030122_to_20030123,Heavy rain,UK,1.0,1043193600000
5611689058.160156,-17.930109,139.396536,0,0,1046908800000,DFO_2137_From_20030122_to_20030306,Heavy rain,Australia,1.0,1043193600000
19134118041.253906,-13.374411,-70.432286,7,12000,1044835200000,DFO_2138_From_20030123_to_20030210,Heavy rain,Peru,1.0,1043280000000
1063072901.1523438,41.347305,15.920488,1,1000,1043625600000,DFO_2140_From_20030125_to_20030127,Heavy rain,Italy,1.0,1043452800000
3454007309.7617188,-22.496397,118.21192,0,0,1044316800000,DFO_2143_From_20030126_to_20030204,Heavy rain,Australia,1.0,1043539200000
3543550792.9882812,-15.87345,-69.309972,6,34000,1044835200000,DFO_2145_From_20030128_to_20030210,Heavy rain,Peru,1.0,1043712000000
983415940.6289062,-7.046763,107.641486,0,0,1044748800000,DFO_2148_From_20030130_to_20030209,Heavy rain,Indonesia,1.0,1043884800000
255463115.0859375,-23.771908,150.372737,1,20,1045008000000,DFO_2152_From_20030205_to_20030212,Heavy rain,Australia,1.0,1044403200000
391689466.6171875,-22.278126,146.722097,0,0,1045180800000,DFO_2154_From_20030211_to_20030214,Heavy rain,Australia,1.0,1044921600000
599488231.1679688,-6.973194,107.603981,0,4300,1045440000000,DFO_2158_From_20030216_to_20030217,Heavy rain,Indonesia,1.0,1045353600000
7657046297.046875,27.524729,68.067654,20,3000,1045872000000,DFO_2160_From_20030216_to_20030222,Heavy rain,Pakistan,1.0,1045353600000
24966917367.148438,-12.176378,21.700514,7,20000,1057017600000,DFO_2161_From_20030115_to_20030701,Heavy rain,Zambia,2.0,1042588800000
